Word,Documents (With Count)
fiz,"[(27, 2), (30, 1), (46, 1), (55, 1), (60, 1), (82, 1), (102, 1), (174, 5), (223, 1), (229, 1), (252, 3), (297, 1)]"
relâmpago,"[(551, 1)]"
ensaio,"[(124, 1), (236, 1)]"
descreditada,"[(19, 1)]"
sanches,"[(229, 13)]"
chefiarem,"[(215, 2)]"
julgamos,"[(102, 1)]"
liderou,"[(283, 1), (530, 1)]"
inaugurando,"[(236, 1)]"
magro,"[(622, 1)]"
aspou,"[(57, 1)]"
simulacro,"[(517, 1)]"
fim,"[(13, 1), (40, 1), (55, 4), (62, 1), (72, 1), (103, 2), (105, 1), (128, 2), (138, 1), (157, 5), (160, 1), (162, 1), (166, 1), (167, 1), (172, 1), (192, 1), (207, 1), (208, 1), (210, 2), (219, 1), (223, 2), (238, 1), (248, 2), (256, 2), (285, 1), (289, 1), (300, 1), (315, 1), (318, 1), (322, 1), (327, 1), (345, 1), (424, 1), (431, 1), (442, 1), (446, 1), (448, 1), (451, 1), (460, 1), (477, 1), (514, 1), (525, 2), (577, 1), (579, 1), (615, 2)]"
proclamada,"[(572, 1)]"
surgiu,"[(34, 1), (179, 1), (324, 1), (331, 1), (390, 1), (579, 1)]"
ambulatorial,"[(393, 1), (543, 1)]"
at�,"[(572, 1)]"
surgir,"[(138, 1), (545, 1)]"
dão,"[(147, 1), (208, 1), (239, 1), (568, 2), (596, 1)]"
arafat,"[(573, 1)]"
gati,"[(132, 1)]"
integra,"[(266, 1)]"
contestar,"[(63, 1), (82, 1), (294, 1), (596, 1)]"
tramontina,"[(362, 1)]"
brasileira,"[(28, 1), (37, 2), (51, 2), (55, 1), (60, 1), (62, 1), (80, 2), (82, 1), (103, 1), (104, 1), (121, 2), (122, 2), (127, 2), (130, 1), (138, 1), (146, 1), (157, 1), (166, 4), (171, 2), (174, 2), (179, 3), (194, 1), (210, 1), (214, 1), (223, 1), (237, 1), (243, 2), (251, 4), (260, 1), (264, 1), (266, 2), (276, 2), (289, 3), (302, 1), (304, 2), (319, 1), (376, 1), (417, 1), (433, 1), (514, 1), (518, 1), (520, 1), (525, 3), (545, 2), (548, 1), (551, 1), (552, 1), (566, 2), (572, 2), (576, 1), (584, 2), (602, 1), (603, 1)]"
surgia,"[(525, 1)]"
pós-bebianno,"[(372, 1)]"
brasileiro,"[(10, 3), (17, 1), (27, 1), (37, 1), (62, 1), (68, 1), (80, 1), (82, 1), (103, 1), (108, 2), (121, 3), (122, 1), (123, 1), (127, 3), (134, 1), (158, 2), (160, 1), (162, 1), (163, 1), (167, 1), (179, 4), (182, 2), (185, 1), (192, 3), (197, 2), (198, 1), (243, 2), (248, 1), (251, 1), (268, 1), (273, 1), (276, 2), (277, 1), (289, 1), (294, 1), (324, 1), (327, 1), (345, 1), (352, 2), (380, 1), (402, 1), (403, 1), (424, 1), (429, 2), (442, 1), (448, 1), (483, 1), (488, 1), (496, 1), (513, 1), (514, 1), (525, 5), (534, 1), (545, 1), (559, 1), (560, 1), (572, 4), (593, 1), (597, 1), (603, 1), (609, 1), (627, 2), (635, 1)]"
significou,"[(108, 1), (590, 1)]"
letalidade,"[(137, 1), (448, 1), (555, 1)]"
chocado,"[(55, 1)]"
heróis,"[(236, 1), (572, 1)]"
giusti,"[(29, 1)]"
dificultou,"[(179, 1)]"
ventania,"[(195, 1)]"
suportáveis,"[(160, 1)]"
integração,"[(514, 1), (531, 1), (568, 1), (585, 7)]"
constança,"[(548, 1)]"
estocolmo,"[(37, 1), (146, 1)]"
abordar,"[(393, 1), (543, 1), (545, 1)]"
chocada,"[(27, 1)]"
folha,"[(60, 1), (114, 1), (127, 1), (158, 1), (236, 1), (273, 2), (279, 2), (289, 3), (318, 1), (323, 1), (340, 3), (379, 2), (418, 1), (502, 1), (545, 1), (577, 4), (586, 2), (594, 1), (635, 1)]"
escrava,"[(483, 2)]"
representa,"[(28, 1), (64, 1), (104, 1), (108, 1), (138, 1), (145, 1), (177, 1), (182, 3), (198, 2), (208, 1), (249, 1), (252, 1), (276, 1), (398, 1), (471, 1), (505, 2), (525, 1), (526, 1), (544, 1), (555, 1), (585, 1)]"
rótulos,"[(252, 1)]"
expressando,"[(559, 1)]"
klinger,"[(572, 1)]"
arroz,"[(331, 1), (403, 1), (483, 1)]"
descendentes,"[(174, 1)]"
inevitável,"[(128, 1), (133, 1), (217, 1), (297, 1), (429, 1), (465, 1), (602, 1)]"
perversidade,"[(454, 1)]"
prestadora,"[(40, 1)]"
reescrever,"[(114, 1), (291, 1)]"
privativa,"[(138, 1)]"
interessada,"[(62, 1), (103, 1), (122, 1), (127, 1), (451, 1)]"
financiam,"[(210, 1), (273, 1)]"
alojamento,"[(532, 1)]"
mdb,"[(25, 1), (119, 1), (138, 1), (179, 1), (283, 1), (339, 1), (430, 2), (552, 1)]"
interessado,"[(130, 1), (294, 1)]"
realizou,"[(17, 1), (123, 1), (295, 1), (518, 1), (530, 1)]"
referidos,"[(525, 1)]"
estabeleceu-se,"[(167, 1)]"
subordinar,"[(429, 1)]"
delgado,"[(568, 1)]"
clérigo,"[(635, 1)]"
americanas,"[(130, 1), (185, 1), (480, 1)]"
pactual,"[(149, 2)]"
veiculada,"[(566, 1)]"
veracruz,"[(17, 1)]"
virtuosos,"[(223, 2)]"
bosé,"[(583, 1)]"
ordenamento,"[(137, 2)]"
emprestado,"[(207, 1)]"
ratificou,"[(192, 1), (545, 1)]"
trending,"[(158, 1), (289, 1), (577, 1)]"
urbano,"[(17, 1), (80, 2), (130, 1), (179, 1), (195, 1), (251, 1), (488, 1)]"
cubano,"[(597, 2)]"
alto-comando,"[(10, 1)]"
urbana,"[(17, 1), (25, 1), (448, 1)]"
abafou,"[(477, 1)]"
esclerose,"[(118, 1)]"
caderno,"[(167, 1), (572, 1)]"
neutra,"[(568, 2)]"
rucoriar,"[(577, 1)]"
invisíveis,"[(483, 1)]"
incêndios,"[(270, 2), (358, 1)]"
atuaria,"[(270, 1), (551, 1)]"
perigosas,"[(17, 1)]"
topetudos,"[(248, 1)]"
odiava,"[(172, 1)]"
kkkkkkkk,"[(313, 1)]"
gate,"[(593, 1)]"
ilícitos,"[(17, 1), (62, 1)]"
misturaram,"[(165, 1)]"
gostavam,"[(167, 1)]"
provém,"[(318, 1)]"
circulação,"[(179, 1), (212, 1), (466, 1), (531, 1), (627, 1)]"
invista,"[(531, 1)]"
jgprates,"[(314, 1)]"
contraparte,"[(266, 1)]"
suicidou,"[(25, 1)]"
navio,"[(103, 3)]"
cobrados,"[(13, 1), (525, 1)]"
governado,"[(223, 1)]"
macartismo,"[(278, 2)]"
ian,"[(108, 1)]"
bertel,"[(121, 1)]"
internacionais,"[(15, 1), (19, 1), (37, 1), (76, 4), (121, 1), (192, 1), (249, 1), (276, 1), (378, 1), (380, 2), (429, 2), (448, 1), (526, 1), (545, 2), (560, 1), (572, 1), (585, 2), (603, 1), (623, 2), (632, 1)]"
completado,"[(102, 1), (167, 1)]"
dalide,"[(103, 2)]"
maneiras,"[(289, 1), (297, 1), (525, 1)]"
inflamadas,"[(508, 1)]"
separamos,"[(59, 1)]"
constatarmos,"[(545, 1)]"
governada,"[(207, 1)]"
localizadas,"[(166, 1)]"
configurava,"[(457, 1)]"
gleisi,"[(289, 1), (294, 3)]"
mantêm,"[(96, 1), (260, 1), (273, 1), (496, 1)]"
bater,"[(108, 1), (212, 1), (331, 1), (395, 1), (480, 1), (586, 1)]"
merdal,"[(289, 1)]"
saí,"[(627, 4)]"
ato,"[(27, 1), (37, 11), (52, 2), (61, 11), (62, 2), (64, 1), (78, 1), (108, 2), (146, 21), (179, 1), (251, 1), (252, 3), (277, 1), (282, 1), (289, 1), (304, 1), (324, 3), (340, 1), (354, 1), (380, 3), (398, 1), (418, 1), (433, 1), (447, 1), (457, 1), (466, 1), (471, 7), (503, 1), (560, 1), (583, 2), (602, 1), (603, 1), (623, 1)]"
deixam,"[(27, 1), (549, 1)]"
prefácio,"[(82, 1), (572, 1)]"
abasteceriam,"[(25, 1)]"
alterar,"[(1, 1), (210, 1), (229, 1), (243, 1)]"
ups,"[(223, 1)]"
compensações,"[(214, 1), (572, 1)]"
deixar,"[(13, 1), (25, 1), (55, 4), (91, 1), (108, 1), (112, 1), (121, 1), (136, 1), (137, 2), (147, 1), (162, 1), (166, 1), (167, 1), (177, 1), (223, 1), (236, 1), (238, 1), (243, 2), (282, 1), (289, 1), (407, 1), (416, 1), (418, 1), (429, 1), (457, 1), (477, 1), (496, 2), (525, 1), (542, 1), (560, 1), (577, 2), (583, 1), (584, 1), (593, 1)]"
humanidade,"[(27, 1), (48, 1), (121, 1), (179, 1), (252, 1), (526, 2), (582, 1), (602, 1)]"
especialistas,"[(3, 1), (57, 1), (121, 1), (122, 1), (130, 2), (134, 1), (137, 1), (158, 1), (172, 1), (179, 1), (273, 2), (367, 1), (448, 2), (566, 2), (585, 1)]"
oficialista,"[(17, 1), (248, 1)]"
sucata,"[(237, 2)]"
